nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.1049981117248535,9.0,24.0,,,,,74.38754121052632,134.414062
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0995144844055175,9.0,24.0,,,,,75.20442711111112,133.863281
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0989992618560791,9.0,24.0,,,,,74.93055555555556,134.941406
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0977559089660644,9.0,24.0,,,,,75.06423605555557,134.328125
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0999984741210937,9.0,24.0,,,,,74.8357205,134.785156
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.097999095916748,9.0,24.0,,,,,75.29361977777776,134.648438
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.098534345626831,9.0,24.0,,,,,75.53710933333333,134.070312
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0995669364929199,9.0,24.0,,,,,74.41558172222223,134.742188
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0988197326660156,9.0,24.0,,,,,75.9366777368421,134.738281
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0979986190795898,9.0,24.0,,,,,75.22222227777779,134.898438
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0989990234375,9.0,24.0,,,,,75.26302083333333,134.800781
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0982167720794677,9.0,24.0,,,,,75.04774305555556,134.875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.098294973373413,9.0,24.0,,,,,74.27756077777777,134.398438
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0989983081817627,9.0,24.0,,,,,74.5740017777778,134.746094
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0982003211975097,9.0,24.0,,,,,74.422526,135.0625
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0979995727539062,9.0,24.0,,,,,75.03819444444446,134.445312
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0989978313446044,9.0,24.0,,,,,75.17881938888888,134.691406
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.099999189376831,9.0,24.0,,,,,75.17556427777778,135.21875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0979981422424316,9.0,24.0,,,,,75.08463549999999,135.144531
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0992257595062255,9.0,24.0,,,,,74.561849,135.066406
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0980000495910644,9.0,24.0,,,,,74.47309027777777,134.722656
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.1000146865844726,9.0,24.0,,,,,74.55295144444445,134.917969
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0990881919860839,9.0,24.0,,,,,74.77039927777778,134.71875
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0990004539489746,9.0,24.0,,,,,75.07139755555554,134.773438
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.09871506690979,9.0,24.0,,,,,75.1273871111111,133.789062
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0985891819000244,9.0,24.0,,,,,75.2139755,135.203125
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0986905097961425,9.0,24.0,,,,,75.4275173888889,135.007812
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0969996452331543,9.0,24.0,,,,,75.13237838888888,134.796875
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0979988574981689,9.0,24.0,,,,,75.10221361111111,135.277344
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0979986190795898,9.0,24.0,,,,,75.40234377777777,133.570312
