nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0419991016387939,29,49,,,,,74.29710476470589,132.023438
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0430011749267578,29,49,,,,,75.19600176470588,133.890625
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0419991016387939,29,49,,,,,74.13396135294117,131.195312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0419995784759521,29,49,,,,,72.89659929411766,134.699219
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0430006980895996,29,49,,,,,74.7888328235294,133.730469
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.042999267578125,29,49,,,,,75.56640623529411,134.457031
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0420005321502685,29,49,,,,,75.28308829411765,133.746094
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0419986248016357,29,49,,,,,74.81341911764706,133.789062
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.04213547706604,29,49,,,,,74.36190247058823,132.0625
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0419998168945312,29,49,,,,,74.23460476470589,131.769531
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0420002937316894,29,49,,,,,74.40464164705882,132.097656
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0422220230102539,29,49,,,,,74.2794115882353,131.796875
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0420005321502685,29,49,,,,,74.54273888235294,132.96875
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0422620773315429,29,49,,,,,74.54250911764706,132.773438
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0419995784759521,29,49,,,,,74.53446682352941,134.191406
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.041999340057373,29,49,,,,,74.45197611764706,132.300781
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0422244071960449,29,49,,,,,75.36488964705883,134.257812
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0430006980895996,29,49,,,,,74.69278488235294,133.796875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0432143211364746,29,49,,,,,74.80721494117647,133.507812
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0420007705688476,29,49,,,,,75.245864,133.75
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0420000553131103,29,49,,,,,74.20220582352943,131.695312
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0420005321502685,29,49,,,,,72.68267470588235,134.363281
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0431196689605712,29,49,,,,,74.4574908235294,132.0
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0423395633697509,29,49,,,,,74.4241728235294,131.800781
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0423066616058349,29,49,,,,,73.91773894117648,131.195312
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0419998168945312,29,49,,,,,74.72817099999999,133.125
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0419998168945312,29,49,,,,,74.80905323529412,133.816406
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0419988632202148,29,49,,,,,74.85822611764706,133.664062
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0420458316802978,29,49,,,,,75.53262870588236,134.46875
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0420043468475341,29,49,,,,,73.87867652941178,131.535156
