nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0995831489562988,9.0,24.0,,,,,74.7519531111111,135.035156
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0994174480438232,9.0,24.0,,,,,74.53971355555555,134.484375
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0985887050628662,9.0,24.0,,,,,74.68402777777777,134.554688
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.099241018295288,9.0,24.0,,,,,74.09244794444446,134.625
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.1000006198883056,9.0,24.0,,,,,75.13975699999999,134.863281
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0986907482147216,9.0,24.0,,,,,75.71710515789474,134.441406
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0979993343353271,9.0,24.0,,,,,75.47656255555555,134.816406
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0985817909240722,9.0,24.0,,,,,75.14474827777778,134.765625
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0989980697631836,9.0,24.0,,,,,75.36414933333333,134.832031
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0985682010650634,9.0,24.0,,,,,75.04752605555556,134.765625
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0979983806610107,9.0,24.0,,,,,75.31293405555556,134.585938
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0970001220703125,9.0,24.0,,,,,75.21636277777777,133.554688
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0979988574981689,9.0,24.0,,,,,75.09635416666667,134.574219
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0989987850189209,9.0,24.0,,,,,75.29947927777778,134.828125
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0979986190795898,9.0,24.0,,,,,74.62413199999999,135.074219
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0979995727539062,9.0,24.0,,,,,74.51432294444444,134.207031
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0986344814300537,9.0,24.0,,,,,75.35590283333333,134.484375
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0979993343353271,9.0,24.0,,,,,75.22395822222222,134.570312
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0989990234375,9.0,24.0,,,,,74.96440983333333,134.929688
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0989995002746582,9.0,24.0,,,,,74.77669272222221,135.082031
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0984723567962646,9.0,24.0,,,,,74.66558166666667,134.621094
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0976052284240722,9.0,24.0,,,,,75.24609372222223,134.828125
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0989990234375,9.0,24.0,,,,,75.14626744444445,134.769531
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0982229709625244,9.0,24.0,,,,,75.1508246111111,134.804688
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.1002950668334961,9.0,24.0,,,,,75.626085,133.996094
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.098160982131958,9.0,24.0,,,,,74.86566850000001,134.800781
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0975711345672607,9.0,24.0,,,,,75.55251738888889,133.804688
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0992541313171386,9.0,24.0,,,,,75.33051222222223,134.902344
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0976576805114746,9.0,24.0,,,,,75.07769116666668,134.824219
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.1000008583068847,9.0,24.0,,,,,74.66688366666666,134.886719
