nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0472142696380615,17,35,,,,,93.65624994117648,170.089844
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0487651824951171,17,35,,,,,103.29028325,169.929688
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0497376918792724,17,35,,,,,95.67302388235294,169.945312
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0504257678985595,17,35,,,,,103.75463881249999,169.648438
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0540821552276611,17,35,,,,,103.04321293749999,169.964844
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.0485680103302001,17,35,,,,,104.84306064705883,169.976562
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.0483465194702148,17,35,,,,,103.773193375,169.648438
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.045107364654541,17,35,,,,,102.79321275000001,170.128906
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0490977764129638,17,35,,,,,102.94848625,169.660156
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0482656955718994,17,35,,,,,103.30517574999999,169.851562
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0558409690856933,17,35,,,,,104.22143568749999,170.074219
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0479576587677001,17,35,,,,,103.91659,170.078125
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0499870777130126,17,35,,,,,101.2243651875,169.988281
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.0504148006439209,17,35,,,,,102.3154296875,170.09375
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0480000972747802,17,35,,,,,100.974121125,170.011719
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0514612197875976,17,35,,,,,105.6113280625,170.027344
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0495364665985107,17,35,,,,,102.2067871875,169.878906
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0473558902740478,17,35,,,,,95.37155329411765,169.753906
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0565338134765625,17,35,,,,,102.660644625,169.933594
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0473313331604003,17,35,,,,,103.504882875,170.007812
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0465829372406005,17,35,,,,,101.6813965,170.132812
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0477986335754394,17,35,,,,,103.0095214375,170.085938
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.053502082824707,17,35,,,,,102.85082993750001,169.832031
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0609271526336669,17,35,,,,,103.97035841176469,169.675781
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0430631637573242,17,35,,,,,104.274414125,169.863281
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0461401939392089,17,35,,,,,103.70410162499999,169.675781
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0481410026550293,17,35,,,,,94.13237850000002,169.824219
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0469002723693847,17,35,,,,,102.809082,170.082031
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0535786151885986,17,35,,,,,102.839355375,169.941406
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0502409934997558,17,35,,,,,102.32973352941177,169.617188
