nInst,pv_mean,pv_std,load_mean,load_std,sol,time,memory,ex_times,n_vars,n_constraints,sol_sol,sol_memory,sol_time,sol_hyperparam,ex_memory_mean,ex_memory_max
0.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,405.96,1.94,60.3,0.0493097305297851,16,28,,104.86,21.11,1,102.8166503125,171.386719
1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,400.7,1.46,60.07,0.0453877449035644,16,28,,104.86,21.11,1,107.58637144444445,171.164062
2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,410.42,1.85,60.33,0.0482141971588134,16,28,,104.86,21.11,1,101.8596189375,171.597656
3.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,418.39,1.85,59.98,0.0487542152404785,16,28,,104.86,21.11,1,102.2189940625,171.308594
4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,412.99,1.57,60.04,0.0490045547485351,16,28,,104.86,21.11,1,104.38442094117647,171.355469
5.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,423.01,2.21,60.33,0.059201955795288,16,28,,104.86,21.11,1,102.3176269375,171.585938
6.0,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,451.56,1.72,60.31,0.050567626953125,16,28,,104.86,21.11,1,105.2109375,171.527344
7.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,445.68,1.38,60.32,0.0545172691345214,16,28,,104.86,21.11,1,105.21806070588234,171.546875
8.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,456.55,1.72,60.33,0.0475153923034668,16,28,,104.86,21.11,1,102.7587889375,171.351562
9.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,414.26,3.34,60.27,0.0451116561889648,16,28,,104.86,21.11,1,102.92211925,171.324219
10.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,408.88,1.57,60.27,0.0508148670196533,16,28,,104.86,21.11,1,99.72725188235296,171.433594
11.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,418.84,2.11,60.32,0.0466670989990234,16,28,,104.86,21.11,1,102.77148431250001,171.675781
12.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,406.38,1.68,60.3,0.0493872165679931,16,28,,104.86,21.11,1,103.18066400000001,171.632812
13.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,401.12,1.81,60.35,0.055450439453125,16,28,,104.86,21.11,1,103.86465994117647,171.726562
14.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,410.88,1.48,60.25,0.0541472434997558,16,28,,104.86,21.11,1,103.34130862500001,171.21875
15.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,421.31,1.59,60.3,0.0575301647186279,16,28,,104.86,21.11,1,106.81594676470588,171.5625
16.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,415.86,1.42,59.91,0.0492653846740722,16,28,,104.86,21.11,1,101.80813429411765,171.234375
17.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,425.95,1.42,60.31,0.0490696430206298,16,28,,104.86,21.11,1,103.1733399375,171.421875
18.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,409.3,1.69,60.2,0.0605130195617675,16,28,,104.86,21.11,1,108.19554241176469,171.8125
19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,403.98,1.56,60.3,0.0523614883422851,16,28,,104.86,21.11,1,102.943847625,171.347656
20.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,413.81,1.25,60.21,0.0563790798187255,16,28,,104.86,21.11,1,102.105224625,171.5
21.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,422.55,1.41,60.31,0.0491220951080322,16,28,,104.86,21.11,1,107.20703129411766,172.902344
22.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,417.06,2.18,60.29,0.0539650917053222,16,28,,104.86,21.11,1,96.12270223529411,171.410156
23.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,427.25,2.43,60.22,0.0465867519378662,16,28,,104.86,21.11,1,103.39379875,171.472656
24.0,249.0677083333333,257.24515969482286,291.90416666666664,156.37602245646727,381.11,1.29,60.31,0.0599081516265869,16,28,,104.86,21.11,1,97.24045138888889,171.53125
25.0,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,376.16,1.47,60.3,0.0506222248077392,16,28,,104.86,21.11,1,103.2517090625,171.355469
26.0,247.6604166666667,254.5271070531121,292.75,152.9459034266691,385.32,1.4,60.18,0.0513386726379394,16,28,,104.86,21.11,1,103.17675775000001,171.628906
27.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,410.12,1.59,60.24,0.0495564937591552,16,28,,104.86,21.11,1,95.52297794117646,171.527344
28.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,404.78,1.47,60.26,0.0492825508117675,16,28,,104.86,21.11,1,95.39292288235295,171.304688
29.0,266.50625,273.8953361583049,315.028125,164.58755882959193,414.66,1.7,60.18,0.0586872100830078,16,28,,104.86,21.11,1,96.46897976470588,171.707031
